FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value
ENSMUSG00000033721,Vav3,0.053665424966301736,-2.3599568930207138,1.2004745095562733e-13,0.3629077865360158,0.8240574884704355,0.07957773388359114,0.13377543597942598,-0.7212951701357753,1,0.09329783567171639,-1.3734826096657429,0.001381086421721851,1.2822078763536973,3.4497627076583215,3.1932523875124486e-38,0.07445811207527543,-1.6130107371997098,0.003910291832761368,0.07569121698012828,-1.670112237159421,0.0003231106940637034,0.13640279782650694,-0.718792133875926,0.5340741093665793,0.21744636841331572,0.019654712790526663,1
ENSMUSG00000073680,Tmem88b,0.2975991748131278,-1.8989260914021031,4.19952894868631e-13,1.333182076927447,0.6423545822346797,0.16529647389754923,0.31214268395199396,-1.571787274888327,0.08700427382453074,0.33458534171925874,-1.5852484176963997,6.23827816526359e-06,1.4174737622107905,0.7351135396469612,0.08911032171172577,4.241248614749343,2.870163766578915,4.8043703178211265e-30,0.621372083581053,-0.6087027798299842,0.40108653903394603,0.21253459196223176,-2.160327252799455,4.9509962133985096e-05,0.519980446205755,-0.798301875725072,1
ENSMUSG00000005716,Pvalb,0.6293490746048113,-1.954930243552034,1.6028036426114098e-12,4.082712598530177,1.2295644597882915,0.00047686838447698007,0.9052137834607824,-1.1692055302619777,0.5855436440328147,3.6289640909550376,1.122935476921276,0.00015366313529109474,1.1835765012495667,-0.7932714623065042,0.31588245809412197,1.9445022345812315,-0.02469758291994284,1,2.4273997259441136,0.35459247250678183,0.8230535286476361,1.4401597724007944,-0.48855468604281405,0.7888239439492246,1.4937620091001689,-0.4152077648445667,1
ENSMUSG00000076439,Mog,0.7503402145288369,-1.8166187683490918,3.573599112494669e-12,2.280774630660377,0.08987364393368691,1,0.7357648978868429,-1.6033711267539064,0.0780429786318628,0.6739964335594684,-1.8487754212913494,1.1143401430407136e-07,2.1867984880230087,0.021688274489828796,1,12.703699429458531,3.4814759496716374,2.8792971228393724e-46,1.3571611230623,-0.7538530033865372,0.186716609789111,0.5075452942381654,-2.1733756897774934,4.119785454384885e-05,1.247953070893812,-0.806761813142697,1
ENSMUSG00000030337,Vamp1,0.3678520947690137,-1.7968377170006191,3.799776395089447e-12,2.603359329803502,1.5778922794265209,6.657196264945775e-08,0.4815915695259335,-1.1555927913311235,0.45570455372485685,1.293301032414827,0.3735938113695931,0.5611462783160929,2.446058102582438,1.4299652516606636,3.485397046530217e-06,0.4238384841207986,-1.3758315067623417,0.0030963505161699565,0.8185212999013871,-0.4020756671948312,0.8225885125633184,0.8723434744718468,-0.2791993573242897,1,0.5483430159987962,-0.9368839205880511,1
ENSMUSG00000090125,Pou3f1,0.11611246492708921,-1.9199685069639902,9.742844175120547e-12,0.21169620881267587,-0.8094484391385006,0.24953872002654837,0.27646923435748033,-0.37649610787838905,1,0.5485269304147463,0.7670654926112541,0.02543224343062419,0.1211756894136461,-1.625446589451271,0.0021796035355438437,0.30355999538381523,-0.2503728336290798,0.9067117322553448,0.41014078038069507,0.23456495660209753,0.9967389928257853,1.0721894340781244,1.8543992902498856,7.98918457808216e-09,0.8697854736532629,1.3396789775804687,1
ENSMUSG00000047797,Gjb1,0.13562716491483529,-1.9021020861704767,2.13014364902171e-11,0.4989982064870217,0.30955839510206495,0.7617545384798359,0.08472444278696978,-2.285638823502067,0.005975271376305415,0.12707808651837232,-1.8601969826964446,1.0494036243714926e-06,0.55797177916051,0.4871602904168806,0.4618557158439461,2.333975436205749,3.356242139152473,1.7073098226731403e-39,0.24115573782040867,-0.8661337970403777,0.12477191758478626,0.08564826840269041,-2.3180814160961836,8.632096894072762e-05,0.22690055834432946,-0.8372017115382875,1
ENSMUSG00000026830,Ermn,0.33077416479229615,-1.7740454136592534,3.400433058932052e-11,1.0131175707463773,0.14511160426498632,0.9825837051445934,0.29876514035405133,-1.6742900688993922,0.07014074645565599,0.2927621740043514,-1.8283025753637807,3.2921435562122766e-07,1.0680368904132995,0.22780886210907508,0.9051952720297672,5.355256522337117,3.424227918588997,1.9832964656608983e-43,0.5544821709009397,-0.8313674880519849,0.12264654892751493,0.18081301107234643,-2.432793074972876,8.98737422619435e-06,0.5294346361367687,-0.8112193414734857,1
ENSMUSG00000032238,Rora,0.40785722974389316,-1.7332064553555364,4.956904911225521e-11,0.9904358340878764,-0.184628970024905,1,0.8873770586635257,-0.3422909389535162,1,0.9313697733435136,-0.2987346551756995,0.8981291553653257,6.2673193780453245,3.369540781031045,6.510627399418295e-44,0.4295660312035121,-1.4500663153134505,0.002193835356962165,0.5492013883209307,-1.1331880085260957,0.007940016968851054,0.24742833094110564,-2.248295400801521,2.7909726541482304e-05,0.4916178764127138,-1.1857324157823768,1
ENSMUSG00000020774,Aspa,0.13953010491238452,-1.8184497471339738,1.1557304321620803e-10,0.5317607149937453,0.45499356372469935,0.4964570661906367,0.16944888557393956,-1.2685740197949875,0.4160682254587504,0.11742658627647062,-1.9408393813865104,3.0844948241079453e-07,0.49033883623196334,0.31787771191937586,0.7824949688047826,2.187922985596555,3.2439546330771263,6.544822391456364e-37,0.24115573782040867,-0.827139665424514,0.1530642830923219,0.06978747795774774,-2.570165522369437,1.336757904466322e-05,0.3214424576544667,-0.30634622421206714,1
ENSMUSG00000026475,Rgs16,0.08001026994975895,-1.979429000968954,1.4762208164403945e-10,0.18901447215417488,-0.4709308846195419,0.7467501300538338,0.11147952998285497,-1.2042333493806454,0.6612910990269305,0.05790900145141017,-2.3082398002337685,5.343761090988767e-08,1.9613553449278534,4.451011037788027,1.494457966281694e-68,0.10023207394748616,-1.4057781230342674,0.011378933671188092,0.0721706952601223,-1.9652847006087772,1.3908421585185605e-05,0.05392668751280507,-2.2713331569047046,0.00048462275067447075,0.103996089241151,-1.2178446009361295,1
ENSMUSG00000050315,Synpo2,0.08488894494669547,-1.9612409022386335,1.4762208164403945e-10,0.22681736658500987,-0.26211136345482355,0.9922154817023602,0.11593871118216918,-1.217823086074491,0.6117232612952732,0.05790900145141017,-2.378419449316442,1.660210616582346e-08,2.034624366433779,4.404610155927923,7.530753735191947e-68,0.12314226227834013,-1.175165194892851,0.03911153699520415,0.04400652150007458,-2.7499951928139765,1.7051893287971246e-09,0.07613179413572481,-1.8566411719469684,0.0042573422551267,0.13235865903419217,-0.9602957341860656,1
ENSMUSG00000022548,Apod,1.4577480890846326,-1.606847062309789,1.4834245721264106e-10,4.201161667746794,0.21674868772479527,0.909538671248698,4.4012118437231145,0.27553647078799237,1,1.1179654446869463,-1.8897370871707266,2.4566131399834688e-08,4.579313844120347,0.3528555677072249,0.7197020237700372,18.565843868615794,3.055244439024845,1.2509118301022023e-35,1.9873345109433678,-0.9918574511571656,0.01745290072246389,0.7042190957554545,-2.476225868226729,1.221890582820668e-06,2.146101114340116,-0.7966673220975746,1
ENSMUSG00000092274,Neat1,0.11123378993015269,-1.8194674971168459,1.4860794784597586e-10,0.5317607149937453,0.8350673907487125,0.04725905389543119,0.26309169075953776,-0.28979388306466114,1,0.13190383663932317,-1.4231932494400186,0.0002467696741230386,0.5974243292021623,1.020813731338178,0.007955505016911705,1.214239981535261,2.363420791661886,1.0259878079570878e-17,0.20595052062034902,-0.7199332700799339,0.2777967405590481,0.09833690075864454,-1.754521392107252,0.003324715944545553,0.23635474827534317,-0.41395353418209657,1
ENSMUSG00000032517,Mobp,3.538015107778365,-1.588878074139288,1.7396411653673626e-10,11.078768261196704,0.3712233486066898,0.6472199998323391,3.2774981814959365,-1.482592771642705,0.10507977329626979,3.178560746332958,-1.6326904536147193,6.62435689568398e-07,12.117568941364611,0.5124388318000843,0.4074952581775085,43.884465747750795,3.0164895032044945,4.728539586398728e-35,5.926798315630044,-0.6490244283008413,0.26018641608126114,1.9286721181050286,-2.2862356767829093,5.909466559624377e-06,4.991812283575248,-0.8457115703515283,1
ENSMUSG00000027375,Mal,1.523122334043582,-1.647862687036062,1.7553970400344984e-10,3.7475269345767743,-0.07913332183855393,1,1.4447747085778004,-1.4997967402686077,0.13096300966635074,1.2257405307215152,-1.8555851468592377,1.0787332600852751e-07,3.2942879284779605,-0.28060267896293634,0.9448529205629347,24.499582646306973,3.6524823595888734,2.9863740451630966e-51,2.3129827700439196,-0.8627507455868892,0.07002680246860789,0.6947026214884889,-2.5976525434903857,8.458553127830501e-07,1.7206625674444984,-1.2197204236433687,1
ENSMUSG00000060716,Plekhh1,0.14343304490993372,-1.7679654135189407,2.5168644292342963e-10,0.5544424516522464,0.5317270328422565,0.3723062754307019,0.11593871118216918,-1.803708321103335,0.05328743002304201,0.16085833736502825,-1.4595306921198674,0.00012548553655031746,0.5016109933867211,0.36167795060660557,0.696929888804894,2.018960346656507,3.0408021091634803,3.4321267635395307e-32,0.28692252018048625,-0.5451290832929832,0.5847021159019298,0.09199258458066747,-2.1739555915211985,0.00018404608833758675,0.19853798855128826,-0.9817251964881697,1
ENSMUSG00000036634,Mag,1.6206958339823123,-1.5906095170358556,2.5853219285611674e-10,4.863972416767433,0.2995055200491836,0.776922444940554,1.4269379837805438,-1.5569511625882317,0.08028619807485321,1.5506743721988723,-1.5375298243457531,4.138989086416817e-06,4.863935812277981,0.295246787673372,0.8306790241541456,20.905546851904255,3.1153832754484703,4.960386618104951e-37,2.6773567680645374,-0.6729361263508449,0.23430825643979267,0.9167536877176863,-2.231342984906065,1.3729858035370108e-05,2.63771899075283,-0.6358233755270959,1
ENSMUSG00000013523,Bcas1,0.6449608345950081,-1.6253566638285202,2.710392616413571e-10,1.9733110892895858,0.2954345175422536,0.7466602928522972,0.784815891079299,-1.1084110160136351,0.529001808835825,0.6739964335594684,-1.4343896394605926,3.957667657280939e-05,2.1473459379813566,0.42858351591553623,0.5169945932310769,8.219030063693864,3.025219168418355,2.2418256165482093e-34,1.0420744291217658,-0.7424295109883674,0.1861127424616902,0.3870032868566011,-2.170773697382662,3.2045156354071247e-05,1.1534111715836748,-0.5237095103882228,1
ENSMUSG00000050063,Klk6,0.06244703996078747,-2.0840768716416957,2.710392616413571e-10,0.3301452780292921,0.7123237437699963,0.2081843464054137,0.04013263079382779,-2.346742119779274,0.026959010535406128,0.054691834704109606,-2.1250821842181806,2.2728030481637413e-06,0.40297961828259055,1.0396363336637975,0.02024998190870631,1.099689039880991,3.0820819039295473,1.7386979503329283e-26,0.12497852106021179,-0.8650112643003434,0.23264412084376143,0.03172158088988534,-2.7325485674565932,0.0001303807000577993,0.056725139586082364,-1.7443904154319636,1
